State,Age Group,Gender,Race,Poverty Rate,Year
United States,65+,Female,OtherPacific_Islander,0.001848,2016
United States,65+,Female,TwoOrMore_Races,0.001584,2016
Alabama,0-18,Male,NonHispanic_White,0.0018,2016
Alabama,0-18,Male,AfricanAmerican,0.00468,2016
Alabama,0-18,Male,Hispanic,0.00504,2016
Alabama,0-18,Male,Asian,0.0018,2016
Alabama,0-18,Male,AmericanIndian,0.00216,2016
Alabama,0-18,Male,OtherPacific_Islander,0.00396,2016
Alabama,0-18,Male,TwoOrMore_Races,0.0027,2016
Alabama,0-18,Female,NonHispanic_White,0.0024,2016
Alabama,0-18,Female,AfricanAmerican,0.00624,2016
Alabama,0-18,Female,Hispanic,0.00672,2016
Alabama,0-18,Female,Asian,0.0024,2016
Alabama,0-18,Female,AmericanIndian,0.00288,2016
Alabama,0-18,Female,OtherPacific_Islander,0.00528,2016
Alabama,0-18,Female,TwoOrMore_Races,0.0036,2016
Alabama,19-64,Male,NonHispanic_White,0.0018,2016
Alabama,19-64,Male,AfricanAmerican,0.00468,2016
Alabama,19-64,Male,Hispanic,0.00504,2016
Alabama,19-64,Male,Asian,0.0018,2016
Alabama,19-64,Male,AmericanIndian,0.00216,2016
Alabama,19-64,Male,OtherPacific_Islander,0.00396,2016
Alabama,19-64,Male,TwoOrMore_Races,0.0027,2016
Alabama,19-64,Female,NonHispanic_White,0.0024,2016
Alabama,19-64,Female,AfricanAmerican,0.00624,2016
Alabama,19-64,Female,Hispanic,0.00672,2016
Alabama,19-64,Female,Asian,0.0024,2016
Alabama,19-64,Female,AmericanIndian,0.00288,2016
Alabama,19-64,Female,OtherPacific_Islander,0.00528,2016
Alabama,19-64,Female,TwoOrMore_Races,0.0036,2016
Alabama,65+,Male,NonHispanic_White,0.0018,2016
Alabama,65+,Male,AfricanAmerican,0.00468,2016
Alabama,65+,Male,Hispanic,0.00504,2016
Alabama,65+,Male,Asian,0.0018,2016
Alabama,65+,Male,AmericanIndian,0.00216,2016
Alabama,65+,Male,OtherPacific_Islander,0.00396,2016
Alabama,65+,Male,TwoOrMore_Races,0.0027,2016
Alabama,65+,Female,NonHispanic_White,0.0024,2016
Alabama,65+,Female,AfricanAmerican,0.00624,2016
Alabama,65+,Female,Hispanic,0.00672,2016
Alabama,65+,Female,Asian,0.0024,2016
Alabama,65+,Female,AmericanIndian,0.00288,2016
Alabama,65+,Female,OtherPacific_Islander,0.00528,2016
Alabama,65+,Female,TwoOrMore_Races,0.0036,2016
Alaska,0-18,Male,NonHispanic_White,0.00024,2016
Alaska,0-18,Male,AfricanAmerican,0,2016
Alaska,0-18,Male,Hispanic,0.000816,2016
Alaska,0-18,Male,Asian,0,2016
Alaska,0-18,Male,AmericanIndian,0.001056,2016
Alaska,0-18,Male,OtherPacific_Islander,0,2016
Alaska,0-18,Male,TwoOrMore_Races,0.000384,2016
Alaska,0-18,Female,NonHispanic_White,0.00028,2016
Alaska,0-18,Female,AfricanAmerican,0,2016
Alaska,0-18,Female,Hispanic,0.000952,2016
Alaska,0-18,Female,Asian,0,2016
Alaska,0-18,Female,AmericanIndian,0.001232,2016
Alaska,0-18,Female,OtherPacific_Islander,0,2016
Alaska,0-18,Female,TwoOrMore_Races,0.000448,2016
Alaska,19-64,Male,NonHispanic_White,0.00024,2016
Alaska,19-64,Male,AfricanAmerican,0,2016
Alaska,19-64,Male,Hispanic,0.000816,2016
Alaska,19-64,Male,Asian,0,2016
Alaska,19-64,Male,AmericanIndian,0.001056,2016
Alaska,19-64,Male,OtherPacific_Islander,0,2016
Alaska,19-64,Male,TwoOrMore_Races,0.000384,2016
Alaska,19-64,Female,NonHispanic_White,0.00028,2016
Alaska,19-64,Female,AfricanAmerican,0,2016
Alaska,19-64,Female,Hispanic,0.000952,2016
Alaska,19-64,Female,Asian,0,2016
Alaska,19-64,Female,AmericanIndian,0.001232,2016
Alaska,19-64,Female,OtherPacific_Islander,0,2016
Alaska,19-64,Female,TwoOrMore_Races,0.000448,2016
Alaska,65+,Male,NonHispanic_White,0.00024,2016
Alaska,65+,Male,AfricanAmerican,0,2016
Alaska,65+,Male,Hispanic,0.000816,2016
Alaska,65+,Male,Asian,0,2016
Alaska,65+,Male,AmericanIndian,0.001056,2016
Alaska,65+,Male,OtherPacific_Islander,0,2016
Alaska,65+,Male,TwoOrMore_Races,0.000384,2016
Alaska,65+,Female,NonHispanic_White,0.00028,2016
Alaska,65+,Female,AfricanAmerican,0,2016
Alaska,65+,Female,Hispanic,0.000952,2016
Alaska,65+,Female,Asian,0,2016
Alaska,65+,Female,AmericanIndian,0.001232,2016
Alaska,65+,Female,OtherPacific_Islander,0,2016
Alaska,65+,Female,TwoOrMore_Races,0.000448,2016
Arizona,0-18,Male,NonHispanic_White,0.001386,2016
Arizona,0-18,Male,AfricanAmerican,0.002618,2016
Arizona,0-18,Male,Hispanic,0.00308,2016
Arizona,0-18,Male,Asian,0.001848,2016
Arizona,0-18,Male,AmericanIndian,0.004928,2016
Arizona,0-18,Male,OtherPacific_Islander,0.002002,2016
Arizona,0-18,Male,TwoOrMore_Races,0.002156,2016
Arizona,0-18,Female,NonHispanic_White,0.001638,2016
Arizona,0-18,Female,AfricanAmerican,0.003094,2016
Arizona,0-18,Female,Hispanic,0.00364,2016
Arizona,0-18,Female,Asian,0.002184,2016
Arizona,0-18,Female,AmericanIndian,0.005824,2016
Arizona,0-18,Female,OtherPacific_Islander,0.002366,2016
Arizona,0-18,Female,TwoOrMore_Races,0.002548,2016
Arizona,19-64,Male,NonHispanic_White,0.001386,2016
Arizona,19-64,Male,AfricanAmerican,0.002618,2016
Arizona,19-64,Male,Hispanic,0.00308,2016
Arizona,19-64,Male,Asian,0.001848,2016
Arizona,19-64,Male,AmericanIndian,0.004928,2016
Arizona,19-64,Male,OtherPacific_Islander,0.002002,2016
Arizona,19-64,Male,TwoOrMore_Races,0.002156,2016
Arizona,19-64,Female,NonHispanic_White,0.001638,2016
Arizona,19-64,Female,AfricanAmerican,0.003094,2016
Arizona,19-64,Female,Hispanic,0.00364,2016
Arizona,19-64,Female,Asian,0.002184,2016
Arizona,19-64,Female,AmericanIndian,0.005824,2016
Arizona,19-64,Female,OtherPacific_Islander,0.002366,2016
Arizona,19-64,Female,TwoOrMore_Races,0.002548,2016
Arizona,65+,Male,NonHispanic_White,0.001386,2016
Arizona,65+,Male,AfricanAmerican,0.002618,2016
Arizona,65+,Male,Hispanic,0.00308,2016
Arizona,65+,Male,Asian,0.001848,2016
Arizona,65+,Male,AmericanIndian,0.004928,2016
Arizona,65+,Male,OtherPacific_Islander,0.002002,2016
Arizona,65+,Male,TwoOrMore_Races,0.002156,2016
Arizona,65+,Female,NonHispanic_White,0.001638,2016
Arizona,65+,Female,AfricanAmerican,0.003094,2016
Arizona,65+,Female,Hispanic,0.00364,2016
Arizona,65+,Female,Asian,0.002184,2016
Arizona,65+,Female,AmericanIndian,0.005824,2016
Arizona,65+,Female,OtherPacific_Islander,0.002366,2016
Arizona,65+,Female,TwoOrMore_Races,0.002548,2016
Arkansas,0-18,Male,NonHispanic_White,0.00216,2016
Arkansas,0-18,Male,AfricanAmerican,0.00468,2016
Arkansas,0-18,Male,Hispanic,0.00396,2016
Arkansas,0-18,Male,Asian,0.00144,2016
Arkansas,0-18,Male,AmericanIndian,0.00324,2016
Arkansas,0-18,Male,OtherPacific_Islander,0.00414,2016
Arkansas,0-18,Male,TwoOrMore_Races,0.0027,2016
Arkansas,0-18,Female,NonHispanic_White,0.0027,2016
Arkansas,0-18,Female,AfricanAmerican,0.00585,2016
Arkansas,0-18,Female,Hispanic,0.00495,2016
Arkansas,0-18,Female,Asian,0.0018,2016
Arkansas,0-18,Female,AmericanIndian,0.00405,2016
Arkansas,0-18,Female,OtherPacific_Islander,0.005175,2016
Arkansas,0-18,Female,TwoOrMore_Races,0.003375,2016
Arkansas,19-64,Male,NonHispanic_White,0.00216,2016
Arkansas,19-64,Male,AfricanAmerican,0.00468,2016
Arkansas,19-64,Male,Hispanic,0.00396,2016
Arkansas,19-64,Male,Asian,0.00144,2016
Arkansas,19-64,Male,AmericanIndian,0.00324,2016
Arkansas,19-64,Male,OtherPacific_Islander,0.00414,2016
Arkansas,19-64,Male,TwoOrMore_Races,0.0027,2016
Arkansas,19-64,Female,NonHispanic_White,0.0027,2016
Arkansas,19-64,Female,AfricanAmerican,0.00585,2016
Arkansas,19-64,Female,Hispanic,0.00495,2016
Arkansas,19-64,Female,Asian,0.0018,2016
Arkansas,19-64,Female,AmericanIndian,0.00405,2016
Arkansas,19-64,Female,OtherPacific_Islander,0.005175,2016
Arkansas,19-64,Female,TwoOrMore_Races,0.003375,2016
Arkansas,65+,Male,NonHispanic_White,0.00216,2016
Arkansas,65+,Male,AfricanAmerican,0.00468,2016
Arkansas,65+,Male,Hispanic,0.00396,2016
Arkansas,65+,Male,Asian,0.00144,2016
Arkansas,65+,Male,AmericanIndian,0.00324,2016
Arkansas,65+,Male,OtherPacific_Islander,0.00414,2016
Arkansas,65+,Male,TwoOrMore_Races,0.0027,2016
Arkansas,65+,Female,NonHispanic_White,0.0027,2016
Arkansas,65+,Female,AfricanAmerican,0.00585,2016
Arkansas,65+,Female,Hispanic,0.00495,2016
Arkansas,65+,Female,Asian,0.0018,2016
Arkansas,65+,Female,AmericanIndian,0.00405,2016
Arkansas,65+,Female,OtherPacific_Islander,0.005175,2016
Arkansas,65+,Female,TwoOrMore_Races,0.003375,2016
California,0-18,Male,NonHispanic_White,0.000693,2016
California,0-18,Male,AfricanAmerican,0.001881,2016
California,0-18,Male,Hispanic,0.001485,2016
California,0-18,Male,Asian,0.000891,2016
California,0-18,Male,AmericanIndian,0.001881,2016
California,0-18,Male,OtherPacific_Islander,0.00099,2016
California,0-18,Male,TwoOrMore_Races,0.001089,2016
California,0-18,Female,NonHispanic_White,0.000847,2016
California,0-18,Female,AfricanAmerican,0.002299,2016
California,0-18,Female,Hispanic,0.001815,2016
California,0-18,Female,Asian,0.001089,2016
California,0-18,Female,AmericanIndian,0.002299,2016
California,0-18,Female,OtherPacific_Islander,0.00121,2016
California,0-18,Female,TwoOrMore_Races,0.001331,2016
California,19-64,Male,NonHispanic_White,0.000693,2016
California,19-64,Male,AfricanAmerican,0.001881,2016
California,19-64,Male,Hispanic,0.001485,2016
California,19-64,Male,Asian,0.000891,2016
California,19-64,Male,AmericanIndian,0.001881,2016
California,19-64,Male,OtherPacific_Islander,0.00099,2016
California,19-64,Male,TwoOrMore_Races,0.001089,2016
California,19-64,Female,NonHispanic_White,0.000847,2016
California,19-64,Female,AfricanAmerican,0.002299,2016
California,19-64,Female,Hispanic,0.001815,2016
California,19-64,Female,Asian,0.001089,2016
California,19-64,Female,AmericanIndian,0.002299,2016
California,19-64,Female,OtherPacific_Islander,0.00121,2016
California,19-64,Female,TwoOrMore_Races,0.001331,2016
California,65+,Male,NonHispanic_White,0.000693,2016
California,65+,Male,AfricanAmerican,0.001881,2016
California,65+,Male,Hispanic,0.001485,2016
California,65+,Male,Asian,0.000891,2016
California,65+,Male,AmericanIndian,0.001881,2016
California,65+,Male,OtherPacific_Islander,0.00099,2016
California,65+,Male,TwoOrMore_Races,0.001089,2016
California,65+,Female,NonHispanic_White,0.000847,2016
California,65+,Female,AfricanAmerican,0.002299,2016
California,65+,Female,Hispanic,0.001815,2016
California,65+,Female,Asian,0.001089,2016
California,65+,Female,AmericanIndian,0.002299,2016
California,65+,Female,OtherPacific_Islander,0.00121,2016
California,65+,Female,TwoOrMore_Races,0.001331,2016
Colorado,0-18,Male,NonHispanic_White,0.000288,2016
Colorado,0-18,Male,AfricanAmerican,0.000768,2016
Colorado,0-18,Male,Hispanic,0.000672,2016
Colorado,0-18,Male,Asian,0.00048,2016
Colorado,0-18,Male,AmericanIndian,0.000816,2016
Colorado,0-18,Male,OtherPacific_Islander,0.000528,2016
Colorado,0-18,Male,TwoOrMore_Races,0.000384,2016
Colorado,0-18,Female,NonHispanic_White,0.000384,2016
Colorado,0-18,Female,AfricanAmerican,0.001024,2016
Colorado,0-18,Female,Hispanic,0.000896,2016
Colorado,0-18,Female,Asian,0.00064,2016
Colorado,0-18,Female,AmericanIndian,0.001088,2016
Colorado,0-18,Female,OtherPacific_Islander,0.000704,2016
Colorado,0-18,Female,TwoOrMore_Races,0.000512,2016
Colorado,19-64,Male,NonHispanic_White,0.000288,2016
Colorado,19-64,Male,AfricanAmerican,0.000768,2016
Colorado,19-64,Male,Hispanic,0.000672,2016
Colorado,19-64,Male,Asian,0.00048,2016
Colorado,19-64,Male,AmericanIndian,0.000816,2016
Colorado,19-64,Male,OtherPacific_Islander,0.000528,2016
Colorado,19-64,Male,TwoOrMore_Races,0.000384,2016
Colorado,19-64,Female,NonHispanic_White,0.000384,2016
Colorado,19-64,Female,AfricanAmerican,0.001024,2016
Colorado,19-64,Female,Hispanic,0.000896,2016
Colorado,19-64,Female,Asian,0.00064,2016
Colorado,19-64,Female,AmericanIndian,0.001088,2016
Colorado,19-64,Female,OtherPacific_Islander,0.000704,2016
Colorado,19-64,Female,TwoOrMore_Races,0.000512,2016
Colorado,65+,Male,NonHispanic_White,0.000288,2016
Colorado,65+,Male,AfricanAmerican,0.000768,2016
Colorado,65+,Male,Hispanic,0.000672,2016
Colorado,65+,Male,Asian,0.00048,2016
Colorado,65+,Male,AmericanIndian,0.000816,2016
Colorado,65+,Male,OtherPacific_Islander,0.000528,2016
Colorado,65+,Male,TwoOrMore_Races,0.000384,2016
Colorado,65+,Female,NonHispanic_White,0.000384,2016
Colorado,65+,Female,AfricanAmerican,0.001024,2016
Colorado,65+,Female,Hispanic,0.000896,2016
Colorado,65+,Female,Asian,0.00064,2016
Colorado,65+,Female,AmericanIndian,0.001088,2016
Colorado,65+,Female,OtherPacific_Islander,0.000704,2016
Colorado,65+,Female,TwoOrMore_Races,0.000512,2016
Connecticut,0-18,Male,NonHispanic_White,0.00024,2016
Connecticut,0-18,Male,AfricanAmerican,0.000768,2016
Connecticut,0-18,Male,Hispanic,0.000768,2016
Connecticut,0-18,Male,Asian,0.000432,2016
Connecticut,0-18,Male,AmericanIndian,0,2016
Connecticut,0-18,Male,OtherPacific_Islander,0.000384,2016
Connecticut,0-18,Male,TwoOrMore_Races,0.000384,2016
Connecticut,0-18,Female,NonHispanic_White,0.00032,2016
Connecticut,0-18,Female,AfricanAmerican,0.001024,2016
Connecticut,0-18,Female,Hispanic,0.001024,2016
Connecticut,0-18,Female,Asian,0.000576,2016
Connecticut,0-18,Female,AmericanIndian,0,2016
Connecticut,0-18,Female,OtherPacific_Islander,0.000512,2016
Connecticut,0-18,Female,TwoOrMore_Races,0.000512,2016
Connecticut,19-64,Male,NonHispanic_White,0.00024,2016
Connecticut,19-64,Male,AfricanAmerican,0.000768,2016
Connecticut,19-64,Male,Hispanic,0.000768,2016
Connecticut,19-64,Male,Asian,0.000432,2016
Connecticut,19-64,Male,AmericanIndian,0,2016
Connecticut,19-64,Male,OtherPacific_Islander,0.000384,2016
Connecticut,19-64,Male,TwoOrMore_Races,0.000384,2016
Connecticut,19-64,Female,NonHispanic_White,0.00032,2016
Connecticut,19-64,Female,AfricanAmerican,0.001024,2016
Connecticut,19-64,Female,Hispanic,0.001024,2016
Connecticut,19-64,Female,Asian,0.000576,2016
Connecticut,19-64,Female,AmericanIndian,0,2016
Connecticut,19-64,Female,OtherPacific_Islander,0.000512,2016
Connecticut,19-64,Female,TwoOrMore_Races,0.000512,2016
Connecticut,65+,Male,NonHispanic_White,0.00024,2016
Connecticut,65+,Male,AfricanAmerican,0.000768,2016
Connecticut,65+,Male,Hispanic,0.000768,2016
Connecticut,65+,Male,Asian,0.000432,2016
Connecticut,65+,Male,AmericanIndian,0,2016
Connecticut,65+,Male,OtherPacific_Islander,0.000384,2016
Connecticut,65+,Male,TwoOrMore_Races,0.000384,2016
Connecticut,65+,Female,NonHispanic_White,0.00032,2016
Connecticut,65+,Female,AfricanAmerican,0.001024,2016
Connecticut,65+,Female,Hispanic,0.001024,2016
Connecticut,65+,Female,Asian,0.000576,2016
Connecticut,65+,Female,AmericanIndian,0,2016
Connecticut,65+,Female,OtherPacific_Islander,0.000512,2016
Connecticut,65+,Female,TwoOrMore_Races,0.000512,2016
Delaware,0-18,Male,NonHispanic_White,0.000432,2016
Delaware,0-18,Male,AfricanAmerican,0.000936,2016
Delaware,0-18,Male,Hispanic,0.001728,2016
Delaware,0-18,Male,Asian,0,2016
Delaware,0-18,Male,AmericanIndian,0,2016
Delaware,0-18,Male,OtherPacific_Islander,0.00108,2016
Delaware,0-18,Male,TwoOrMore_Races,0.000648,2016
Delaware,0-18,Female,NonHispanic_White,0.000486,2016
Delaware,0-18,Female,AfricanAmerican,0.001053,2016
Delaware,0-18,Female,Hispanic,0.001944,2016
Delaware,0-18,Female,Asian,0,2016
Delaware,0-18,Female,AmericanIndian,0,2016
Delaware,0-18,Female,OtherPacific_Islander,0.001215,2016
Delaware,0-18,Female,TwoOrMore_Races,0.000729,2016
Delaware,19-64,Male,NonHispanic_White,0.000432,2016
Delaware,19-64,Male,AfricanAmerican,0.000936,2016
Delaware,19-64,Male,Hispanic,0.001728,2016
Delaware,19-64,Male,Asian,0,2016
Delaware,19-64,Male,AmericanIndian,0,2016
Delaware,19-64,Male,OtherPacific_Islander,0.00108,2016
Delaware,19-64,Male,TwoOrMore_Races,0.000648,2016
Delaware,19-64,Female,NonHispanic_White,0.000486,2016
Delaware,19-64,Female,AfricanAmerican,0.001053,2016
Delaware,19-64,Female,Hispanic,0.001944,2016
Delaware,19-64,Female,Asian,0,2016
Delaware,19-64,Female,AmericanIndian,0,2016
Delaware,19-64,Female,OtherPacific_Islander,0.001215,2016
Delaware,19-64,Female,TwoOrMore_Races,0.000729,2016
Delaware,65+,Male,NonHispanic_White,0.000432,2016
Delaware,65+,Male,AfricanAmerican,0.000936,2016
Delaware,65+,Male,Hispanic,0.001728,2016
Delaware,65+,Male,Asian,0,2016
Delaware,65+,Male,AmericanIndian,0,2016
Delaware,65+,Male,OtherPacific_Islander,0.00108,2016
Delaware,65+,Male,TwoOrMore_Races,0.000648,2016
Delaware,65+,Female,NonHispanic_White,0.000486,2016
Delaware,65+,Female,AfricanAmerican,0.001053,2016
Delaware,65+,Female,Hispanic,0.001944,2016
Delaware,65+,Female,Asian,0,2016
Delaware,65+,Female,AmericanIndian,0,2016
Delaware,65+,Female,OtherPacific_Islander,0.001215,2016
Delaware,65+,Female,TwoOrMore_Races,0.000729,2016
District of Columbia,0-18,Male,NonHispanic_White,0.000832,2016
District of Columbia,0-18,Male,AfricanAmerican,0.005408,2016
District of Columbia,0-18,Male,Hispanic,0.003952,2016
District of Columbia,0-18,Male,Asian,0.00208,2016
District of Columbia,0-18,Male,AmericanIndian,0,2016
District of Columbia,0-18,Male,OtherPacific_Islander,0,2016
District of Columbia,0-18,Male,TwoOrMore_Races,0.003328,2016
District of Columbia,0-18,Female,NonHispanic_White,0.000896,2016
District of Columbia,0-18,Female,AfricanAmerican,0.005824,2016
District of Columbia,0-18,Female,Hispanic,0.004256,2016
District of Columbia,0-18,Female,Asian,0.00224,2016
District of Columbia,0-18,Female,AmericanIndian,0,2016
District of Columbia,0-18,Female,OtherPacific_Islander,0,2016
District of Columbia,0-18,Female,TwoOrMore_Races,0.003584,2016
District of Columbia,19-64,Male,NonHispanic_White,0.000832,2016
District of Columbia,19-64,Male,AfricanAmerican,0.005408,2016
District of Columbia,19-64,Male,Hispanic,0.003952,2016
District of Columbia,19-64,Male,Asian,0.00208,2016
District of Columbia,19-64,Male,AmericanIndian,0,2016
District of Columbia,19-64,Male,OtherPacific_Islander,0,2016
District of Columbia,19-64,Male,TwoOrMore_Races,0.003328,2016
District of Columbia,19-64,Female,NonHispanic_White,0.000896,2016
District of Columbia,19-64,Female,AfricanAmerican,0.005824,2016
District of Columbia,19-64,Female,Hispanic,0.004256,2016
District of Columbia,19-64,Female,Asian,0.00224,2016
District of Columbia,19-64,Female,AmericanIndian,0,2016
District of Columbia,19-64,Female,OtherPacific_Islander,0,2016
District of Columbia,19-64,Female,TwoOrMore_Races,0.003584,2016
District of Columbia,65+,Male,NonHispanic_White,0.000832,2016
District of Columbia,65+,Male,AfricanAmerican,0.005408,2016
District of Columbia,65+,Male,Hispanic,0.003952,2016
District of Columbia,65+,Male,Asian,0.00208,2016
District of Columbia,65+,Male,AmericanIndian,0,2016
District of Columbia,65+,Male,OtherPacific_Islander,0,2016
District of Columbia,65+,Male,TwoOrMore_Races,0.003328,2016
District of Columbia,65+,Female,NonHispanic_White,0.000896,2016
District of Columbia,65+,Female,AfricanAmerican,0.005824,2016
District of Columbia,65+,Female,Hispanic,0.004256,2016
District of Columbia,65+,Female,Asian,0.00224,2016
District of Columbia,65+,Female,AmericanIndian,0,2016
District of Columbia,65+,Female,OtherPacific_Islander,0,2016
District of Columbia,65+,Female,TwoOrMore_Races,0.003584,2016
Florida,0-18,Male,NonHispanic_White,0.000864,2016
Florida,0-18,Male,AfricanAmerican,0.00216,2016
Florida,0-18,Male,Hispanic,0.00162,2016
Florida,0-18,Male,Asian,0.00108,2016
Florida,0-18,Male,AmericanIndian,0.001836,2016
Florida,0-18,Male,OtherPacific_Islander,0.001728,2016
Florida,0-18,Male,TwoOrMore_Races,0.001296,2016
Florida,0-18,Female,NonHispanic_White,0.001152,2016
Florida,0-18,Female,AfricanAmerican,0.00288,2016
Florida,0-18,Female,Hispanic,0.00216,2016
Florida,0-18,Female,Asian,0.00144,2016
Florida,0-18,Female,AmericanIndian,0.002448,2016
Florida,0-18,Female,OtherPacific_Islander,0.002304,2016
Florida,0-18,Female,TwoOrMore_Races,0.001728,2016
Florida,19-64,Male,NonHispanic_White,0.000864,2016
Florida,19-64,Male,AfricanAmerican,0.00216,2016
Florida,19-64,Male,Hispanic,0.00162,2016
Florida,19-64,Male,Asian,0.00108,2016
Florida,19-64,Male,AmericanIndian,0.001836,2016
Florida,19-64,Male,OtherPacific_Islander,0.001728,2016
Florida,19-64,Male,TwoOrMore_Races,0.001296,2016
Florida,19-64,Female,NonHispanic_White,0.001152,2016
Florida,19-64,Female,AfricanAmerican,0.00288,2016
Florida,19-64,Female,Hispanic,0.00216,2016
Florida,19-64,Female,Asian,0.00144,2016
Florida,19-64,Female,AmericanIndian,0.002448,2016
Florida,19-64,Female,OtherPacific_Islander,0.002304,2016
Florida,19-64,Female,TwoOrMore_Races,0.001728,2016
Florida,65+,Male,NonHispanic_White,0.000864,2016
Florida,65+,Male,AfricanAmerican,0.00216,2016
Florida,65+,Male,Hispanic,0.00162,2016
Florida,65+,Male,Asian,0.00108,2016
Florida,65+,Male,AmericanIndian,0.001836,2016
Florida,65+,Male,OtherPacific_Islander,0.001728,2016
Florida,65+,Male,TwoOrMore_Races,0.001296,2016
Florida,65+,Female,NonHispanic_White,0.001152,2016
Florida,65+,Female,AfricanAmerican,0.00288,2016
Florida,65+,Female,Hispanic,0.00216,2016
Florida,65+,Female,Asian,0.00144,2016
Florida,65+,Female,AmericanIndian,0.002448,2016
Florida,65+,Female,OtherPacific_Islander,0.002304,2016
Florida,65+,Female,TwoOrMore_Races,0.001728,2016
Georgia,0-18,Male,NonHispanic_White,0.00117,2016
Georgia,0-18,Male,AfricanAmerican,0.0026,2016
Georgia,0-18,Male,Hispanic,0.0026,2016
Georgia,0-18,Male,Asian,0.0013,2016
Georgia,0-18,Male,AmericanIndian,0.00338,2016
Georgia,0-18,Male,OtherPacific_Islander,0.00208,2016
Georgia,0-18,Male,TwoOrMore_Races,0.00169,2016
Georgia,0-18,Female,NonHispanic_White,0.001521,2016
Georgia,0-18,Female,AfricanAmerican,0.00338,2016
Georgia,0-18,Female,Hispanic,0.00338,2016
Georgia,0-18,Female,Asian,0.00169,2016
Georgia,0-18,Female,AmericanIndian,0.004394,2016
Georgia,0-18,Female,OtherPacific_Islander,0.002704,2016
Georgia,0-18,Female,TwoOrMore_Races,0.002197,2016
Georgia,19-64,Male,NonHispanic_White,0.00117,2016
Georgia,19-64,Male,AfricanAmerican,0.0026,2016
Georgia,19-64,Male,Hispanic,0.0026,2016
Georgia,19-64,Male,Asian,0.0013,2016
Georgia,19-64,Male,AmericanIndian,0.00338,2016
Georgia,19-64,Male,OtherPacific_Islander,0.00208,2016
Georgia,19-64,Male,TwoOrMore_Races,0.00169,2016
Georgia,19-64,Female,NonHispanic_White,0.001521,2016
Georgia,19-64,Female,AfricanAmerican,0.00338,2016
Georgia,19-64,Female,Hispanic,0.00338,2016
Georgia,19-64,Female,Asian,0.00169,2016
Georgia,19-64,Female,AmericanIndian,0.004394,2016
Georgia,19-64,Female,OtherPacific_Islander,0.002704,2016
Georgia,19-64,Female,TwoOrMore_Races,0.002197,2016
Georgia,65+,Male,NonHispanic_White,0.00117,2016
Georgia,65+,Male,AfricanAmerican,0.0026,2016
Georgia,65+,Male,Hispanic,0.0026,2016
Georgia,65+,Male,Asian,0.0013,2016
Georgia,65+,Male,AmericanIndian,0.00338,2016
Georgia,65+,Male,OtherPacific_Islander,0.00208,2016
Georgia,65+,Male,TwoOrMore_Races,0.00169,2016
Georgia,65+,Female,NonHispanic_White,0.001521,2016
Georgia,65+,Female,AfricanAmerican,0.00338,2016
Georgia,65+,Female,Hispanic,0.00338,2016
Georgia,65+,Female,Asian,0.00169,2016
Georgia,65+,Female,AmericanIndian,0.004394,2016
Georgia,65+,Female,OtherPacific_Islander,0.002704,2016
Georgia,65+,Female,TwoOrMore_Races,0.002197,2016
Hawaii,0-18,Male,NonHispanic_White,0.00021,2016
Hawaii,0-18,Male,AfricanAmerican,0,2016
Hawaii,0-18,Male,Hispanic,0.000315,2016
