State,Age Group,Gender,Race,Total Cost,IP Actual Cost,OP Actual Cost,Prescribed Drugs,Hospice Benefits,Federally Qualified Health Center,Rehabilative Services,Home Health Services,Year
United States,19-64,Male,OtherPacific_Islander,25476442.62,15841414.39,5169257.018,9999133.495,890496.2593,1903554.55,1585473.447,1764819.401,2015
United States,19-64,Male,TwoOrMore_Races,426643016.1,265289346.5,86567321.75,167451183.7,14912757.47,31878008.51,26551241.22,29554670.7,2015
United States,19-64,Female,NonHispanic_White,11014381507,6848812618,2234855539,4322984677,384993528.2,822975026.5,685457137,762994836.8,2015
United States,19-64,Female,AfricanAmerican,2168852970,1348606599,440067658,851243272.3,75809463.9,162052842.4,134974056.1,150242082.8,2015
United States,19-64,Female,Hispanic,3159236616,1964433462,641019874.5,1239954461,110427049.5,236052549.7,196608523.6,218848532.2,2015
United States,19-64,Female,Asian,958231563.6,595834493.3,194428449.4,376091963.4,33493750.9,71597360.77,59633549.44,66379191.15,2015
United States,19-64,Female,AmericanIndian,113630331.5,70656064.33,23055981.46,44598253.81,3971801.977,8490256.582,7071547.474,7871468.425,2015
United States,19-64,Female,OtherPacific_Islander,26673303.45,16585630.08,5412104.159,10468883.98,932330.9891,1992981.866,1659957.593,1847729.062,2015
United States,19-64,Female,TwoOrMore_Races,446686329.1,277752406.3,90634178.27,175317892.8,15613345.68,33375609.27,27798595.15,30943123.1,2015
United States,65+,Male,NonHispanic_White,2566415634,1645790085,537042447.1,1038826103,92515092.32,197763351.8,164717393,183349933.4,2015
United States,65+,Male,AfricanAmerican,505355490.6,324074185.4,105749569.9,204556295.5,18217240.13,38941781.03,32434667.98,36103620.29,2015
United States,65+,Male,Hispanic,736120701.6,472059216,154038986.4,297964752.6,26535949.11,56724131.24,47245614.21,52589954.58,2015
United States,65+,Male,Asian,223273586.8,143180804.6,46721735.9,90376019.75,8048648.171,17205059.19,14330119.67,15951117.48,2015
United States,65+,Male,AmericanIndian,26476535.16,16978862.85,5540421.064,10717093.32,954435.8531,2040233.962,1699313.935,1891537.324,2015
United States,65+,Male,OtherPacific_Islander,6215036.489,3985576.342,1300544.76,2515704.023,224041.9155,478919.4826,398892.7572,444014.8008,2015
United States,65+,Male,TwoOrMore_Races,104080540.3,66744731.07,21779663.17,42129412.18,3751933.502,8020258.384,6680085.268,7435724.706,2015
United States,65+,Female,NonHispanic_White,2686983580,1723107854,562272228.2,1087629238,96861369.86,207054099.8,172455671.1,191963551.8,2015
United States,65+,Female,AfricanAmerican,529096646.4,339298905.1,110717591.5,214166170,19073070.02,40771231.6,33958420.1,37799736.56,2015
United States,65+,Female,Hispanic,770703003.7,494236142.2,161275602.3,311962874.2,27782584.63,59388980.96,49465171.54,55060584.32,2015
United States,65+,Female,Asian,233762783.2,149907312.7,48916681.89,94621805.54,8426766.571,18013337.71,15003336.07,16700486.93,2015
United States,65+,Female,AmericanIndian,27720379.46,17776514.87,5800705.165,11220572.92,999274.4087,2136082.356,1779146.206,1980400.081,2015
United States,65+,Female,OtherPacific_Islander,6507013.429,4172815.207,1361643.207,2633889.581,234567.2073,501418.698,417632.3875,464874.225,2015
United States,65+,Female,TwoOrMore_Races,108970152.4,69880339.74,22802852.56,44108614.85,3928196.032,8397043.058,6993909.789,7785048.503,2015
Alabama,0-18,Male,NonHispanic_White,65300528.4,60524390.99,10870665.36,47127579.28,4340293.614,2694632.911,13455830.46,5266846.583,2015
Alabama,0-18,Male,AfricanAmerican,26098106.69,24189268.48,4344586.35,18835078.71,1734648.227,1076941.013,5377777.295,2104955.77,2015
Alabama,0-18,Male,Hispanic,3920450.706,3633705.533,652642.616,2829400.557,260578.3992,161777.795,807848.2872,316205.9008,2015
Alabama,0-18,Male,Asian,1153196.404,1068850.617,191974.1312,832265.1638,76648.85893,47586.7663,237627.7143,93011.62932,2015
Alabama,0-18,Male,AmericanIndian,339911.4176,315050.001,56585.5034,245315.0483,22592.70164,14026.47903,70042.16532,27415.72437,2015
Alabama,0-18,Male,OtherPacific_Islander,22938.80732,21261.04301,3818.653604,16555.00326,1524.660847,946.5722048,4726.771893,1850.140909,2015
Alabama,0-18,Male,TwoOrMore_Races,1803824.394,1671891.11,300285.0334,1301825.256,119893.7848,74434.99611,371696.1534,145488.3533,2015
Alabama,0-18,Female,NonHispanic_White,70392495.1,65243926.81,11718331.79,50802466.29,4678738.51,2904753.432,14505081.4,5677541.689,2015
Alabama,0-18,Female,AfricanAmerican,28133169.71,26075485.22,4683365.983,20303789.54,1869911.619,1160918.094,5797122.491,2269094.789,2015
Alabama,0-18,Female,Hispanic,4226157.335,3917052.514,703534.003,3050029.911,280897.6304,174392.81,870842.212,340862.8209,2015
Alabama,0-18,Female,Asian,1243119.684,1152196.83,206943.7785,897163.0536,82625.73915,51297.45953,256157.3102,100264.4362,2015
Alabama,0-18,Female,AmericanIndian,366416.8328,339616.7871,60997.89494,264444.0827,24354.42221,15120.22767,75503.87263,29553.53181,2015
Alabama,0-18,Female,OtherPacific_Islander,24727.51632,22918.92428,4116.422358,17845.91969,1643.549965,1020.383463,5095.353368,1994.410122,2015
Alabama,0-18,Female,TwoOrMore_Races,1944481.965,1802260.864,323700.4854,1403338.23,129242.7927,80239.24502,400680.0603,156833.1596,2015
Alabama,19-64,Male,NonHispanic_White,160830575.6,149992230.3,26939805.85,116792100,10756164.73,6677869.759,33346391.24,13052358.77,2015
Alabama,19-64,Male,AfricanAmerican,64277788.02,59946118.75,10766803.03,46677305.09,4298824.856,2668887.4,13327268.52,5216525.198,2015
Alabama,19-64,Male,Hispanic,9655792.368,9005090.152,1617386.313,7011852.463,645768.3364,400919.5614,2002018.763,783625.0398,2015
Alabama,19-64,Male,Asian,2840241.053,2648837.688,475752.4633,2062528.943,189952.0692,117930.0625,588891.6892,230502.4718,2015
Alabama,19-64,Male,AmericanIndian,837177.7425,780760.4759,140230.8346,607942.5274,55989.48874,34760.579,173579.2863,67941.95824,2015
Alabama,19-64,Male,OtherPacific_Islander,56496.65747,52689.35727,9463.430554,41026.79633,3778.431755,2345.805944,11713.93957,4585.040126,2015
Alabama,19-64,Male,TwoOrMore_Races,4442691.701,4143299.458,744169.7663,3226198.075,297122.1335,184465.6493,921141.6116,360550.8827,2015
Alabama,19-64,Female,NonHispanic_White,173371728.9,161688237.4,29040502.39,125899246.6,11594902.7,7198592.81,35946656.78,14070148.03,2015
Alabama,19-64,Female,AfricanAmerican,69290004.06,64620562.4,11606370.55,50317080.89,4634036.125,2877000.352,14366494.53,5623296.372,2015
Alabama,19-64,Female,Hispanic,10408726.14,9707283.844,1743505.924,7558618.624,696123.6848,432182.2342,2158131.02,844730.0983,2015
Alabama,19-64,Female,Asian,3061715.721,2855387.216,512850.4127,2223359.627,204764.0413,127125.9444,634811.9435,248476.4598,2015
Alabama,19-64,Female,AmericanIndian,902458.7026,841642.1631,151165.6732,655348.3169,60355.40459,37471.11925,187114.5512,73239.89682,2015
Alabama,19-64,Female,OtherPacific_Islander,60902.12103,56797.93739,10201.36445,44225.96003,4073.064113,2528.725839,12627.36235,4942.569724,2015
Alabama,19-64,Female,TwoOrMore_Races,4789121.336,4466383.258,802198.2043,3477768.675,320290.9507,198849.8046,992969.8574,388665.7101,2015
Alabama,65+,Male,NonHispanic_White,42341759.4,40501723.11,7274433.847,31536842.18,2904438.48,1803194.948,9004375.105,3524469.366,2015
Alabama,65+,Male,AfricanAmerican,16922370.79,16186979.14,2907311.094,12604061.44,1160792.22,720667.5854,3598702,1408594.69,2015
Alabama,65+,Male,Hispanic,2542074.078,2431603.738,436735.5059,1893378.786,174373.9012,108258.4946,540596.0656,211598.7229,2015
Alabama,65+,Male,Asian,747748.3856,715253.6526,128465.2845,556935.3556,51291.89753,31844.12103,159015.7576,62241.53923,2015
Alabama,65+,Male,AmericanIndian,220403.2312,210825.2177,37865.89759,164159.9692,15118.58824,9386.241823,46870.82909,18346.05948,2015
Alabama,65+,Male,OtherPacific_Islander,14873.83769,14227.46868,2555.367322,11078.28013,1020.272826,633.4273623,3163.062086,1238.077634,2015
Alabama,65+,Male,TwoOrMore_Races,1169624.509,1118796.401,200944.7939,871155.6647,80230.54496,49810.4244,248731.7004,97357.92303,2015
Alabama,65+,Female,NonHispanic_White,45643460.53,43659942.96,7841675.427,33996003.75,3130919.097,1943803.436,9706513.04,3799298.393,2015
Alabama,65+,Female,AfricanAmerican,18241933.59,17449198,3134015.711,13586893.62,1251307.802,776863.384,3879319.496,1518433.269,2015
Alabama,65+,Female,Hispanic,2740298.454,2621213.922,470791.0137,2041019.577,187971.128,116700.2127,582750.3517,228098.6453,2015
Alabama,65+,Female,Asian,806055.8752,771027.2867,138482.6758,600363.7374,55291.50734,34327.24342,171415.396,67094.97385,2015
Alabama,65+,Female,AmericanIndian,237589.7064,227264.8241,40818.58257,176960.74,16297.49674,10118.15674,50525.69539,19776.63786,2015
Alabama,65+,Female,OtherPacific_Islander,16033.66117,15336.88997,2754.628271,11942.13583,1099.831068,682.8203935,3409.709505,1334.619733,2015
Alabama,65+,Female,TwoOrMore_Races,1260828.81,1206037.257,216613.9504,939086.1354,86486.71582,53694.51276,268127.1565,104949.6426,2015
Alaska,0-18,Male,NonHispanic_White,10826119.36,14311751.24,12143470.03,5738222.561,45499.93187,510968.3275,0,92169.34541,2015
Alaska,0-18,Male,AfricanAmerican,569403.1544,752731.0599,638689.627,301803.6211,2393.083233,26874.53996,0,4847.675723,2015
Alaska,0-18,Male,Hispanic,1183562.889,1564628.753,1327581.932,627329.7977,4974.269079,55861.48918,0,10076.39146,2015
Alaska,0-18,Male,Asian,1218373.562,1610647.246,1366628.46,645780.6741,5120.57111,57504.47416,0,10372.75591,2015
Alaska,0-18,Male,AmericanIndian,2454152.46,3244303.739,2752780.183,1300786.786,10314.29324,115830.4408,0,20893.69406,2015
Alaska,0-18,Male,OtherPacific_Islander,69621.34639,92036.9855,78093.05483,36901.7528,292.6040634,3285.969952,0,592.7289094,2015
Alaska,0-18,Male,TwoOrMore_Races,1268103.095,1676387.95,1422409.213,672139.0689,5329.574013,59851.59555,0,10796.13371,2015
Alaska,0-18,Female,NonHispanic_White,10245350.93,13543995.68,11492032.16,5430394.941,43059.0827,483557.3719,0,87224.9101,2015
Alaska,0-18,Female,AfricanAmerican,538857.4556,712350.7142,604427.0473,285613.3306,2264.706003,25432.85213,0,4587.621592,2015
Alaska,0-18,Female,Hispanic,1120070.519,1480694.061,1256363.644,593676.6173,4707.423832,52864.79306,0,9535.842262,2015
Alaska,0-18,Female,Asian,1153013.77,1524243.886,1293315.516,611137.6943,4845.877474,54419.63992,0,9816.308211,2015
Alaska,0-18,Female,AmericanIndian,2322499.165,3070262.685,2605106.968,1231005.927,9760.98177,109616.7033,0,19772.8494,2015
Alaska,0-18,Female,OtherPacific_Islander,65886.50113,87099.65065,73903.74377,34922.15396,276.9072843,3109.69371,0,560.9318978,2015
Alaska,0-18,Female,TwoOrMore_Races,1200075.556,1586457.923,1346103.904,636082.09,5043.668392,56640.84971,0,10216.97385,2015
Alaska,19-64,Male,NonHispanic_White,25174260.85,32964193.26,27970000.73,13216822.61,104799.7916,1176911.086,0,212293.2451,2015
Alaska,19-64,Male,AfricanAmerican,1324048.171,1733762.117,1471090.99,695142.9441,5511.978013,61900.00889,0,11165.63003,2015
Alaska,19-64,Male,Hispanic,2752169.997,3603802.479,3057813.585,1444925.945,11457.21194,128665.5207,0,23208.90783,2015
Alaska,19-64,Male,Asian,2833116.173,3709796.669,3147749.279,1487423.767,11794.18876,132449.8007,0,23891.52276,2015
Alaska,19-64,Male,AmericanIndian,5706705.434,7472590.434,6340466.405,2996096.445,23756.86594,266791.7414,0,48124.35299,2015
Alaska,19-64,Male,OtherPacific_Islander,161892.3527,211988.3811,179871.3874,84995.64382,673.9536436,7568.560039,0,1365.229872,2015
Alaska,19-64,Male,TwoOrMore_Races,2948753.568,3861216.942,3276228.841,1548134.941,12275.58422,137855.915,0,24866.68696,2015
Alaska,19-64,Female,NonHispanic_White,23823784.68,31195825.26,26469546.78,12507804.62,99177.7945,1113775.553,0,200904.7492,2015
Alaska,19-64,Female,AfricanAmerican,1253019.452,1640754.245,1392174.141,657851.9196,5216.287308,58579.37567,0,10566.6485,2015
Alaska,19-64,Female,Hispanic,2604529.515,3410476.074,2893776.818,1367412.724,10842.58847,121763.2438,0,21963.86325,2015
Alaska,19-64,Female,Asian,2681133.325,3510784.193,2978887.901,1407630.745,11161.48813,125344.5156,0,22609.85923,2015
Alaska,19-64,Female,AmericanIndian,5400568.554,7071722.447,6000331.343,2835370.5,22482.42609,252479.6672,0,45542.71645,2015
Alaska,19-64,Female,OtherPacific_Islander,153207.6185,200616.2396,170222.1658,80436.04257,637.7993216,7162.54375,0,1291.991956,2015
Alaska,19-64,Female,TwoOrMore_Races,2790567.338,3654081.507,3100475.162,1465085.061,11617.05907,130460.6183,0,23532.71063,2015
Alaska,65+,Male,NonHispanic_White,4002554.835,5416651.475,4596009.51,2171778.364,17220.62303,193389.1456,0,34883.86657,2015
Alaska,65+,Male,AfricanAmerican,210515.631,284890.4887,241728.5663,114225.3664,905.7240867,10171.36296,0,1834.727939,2015
Alaska,65+,Male,Hispanic,437578.3421,592174.1163,502457.6314,237429.1459,1882.64046,21142.2217,0,3813.6703,2015
Alaska,65+,Male,Asian,450448.2934,609591.002,517235.797,244412.356,1938.012238,21764.05175,0,3925.837074,2015
Alaska,65+,Male,AmericanIndian,907331.5624,1227890.447,1041860.677,492316.3172,3903.710365,43839.01853,0,7907.757534,2015
Alaska,65+,Male,OtherPacific_Islander,25739.90248,34833.77154,29556.33126,13966.42035,110.7435565,1243.6601,0,224.3335471,2015
Alaska,65+,Male,TwoOrMore_Races,468833.938,634472.2674,538347.4622,254388.3706,2017.114778,22652.3804,0,4086.075322,2015
Alaska,65+,Female,NonHispanic_White,3787837.313,5126074.573,4349456.043,2055273.059,16296.82069,183014.7623,0,33012.51747,2015
Alaska,65+,Female,AfricanAmerican,199222.4953,269607.5051,228761.0091,108097.7333,857.1364122,9625.719007,0,1736.303744,2015
Alaska,65+,Female,Hispanic,414104.4008,560406.8665,475503.233,224692.2316,1781.645992,20008.04475,0,3609.085511,2015
Alaska,65+,Female,Asian,426283.942,576889.4214,489488.6222,231300.8266,1834.047345,20596.51665,0,3715.235085,2015
Alaska,65+,Female,AmericanIndian,858657.6546,1162020.12,985969.939,465905.9508,3694.295366,41487.26926,0,7483.544957,2015
Alaska,65+,Female,OtherPacific_Islander,24359.0824,32965.1098,27970.77841,13217.19009,104.8027054,1176.943809,0,212.2991477,2015
Alaska,65+,Female,TwoOrMore_Races,443683.2866,600435.9284,509467.7496,240741.6767,1908.90642,21437.1908,0,3866.877333,2015
Arizona,0-18,Male,NonHispanic_White,91884934.03,7794901.491,33339075.75,1124064.349,67168.72937,9369200.962,623222.2796,47978.2575,2015
Arizona,0-18,Male,AfricanAmerican,6534765.289,554365.6556,2371041.97,79942.34059,4776.97335,666328.2711,44322.94982,3412.166043,2015
Arizona,0-18,Male,Hispanic,50603619.62,4292871.668,18360767.47,619053.8781,36991.70998,5159882.702,343226.0524,26422.97694,2015
Arizona,0-18,Male,Asian,5127391.538,434973.5064,1860397.427,62725.38684,3748.170233,522823.0529,34777.24261,2677.29758,2015
Arizona,0-18,Male,AmericanIndian,6698010.75,568214.3055,2430273.147,81939.38619,4896.30728,682973.8675,45430.18475,3497.405618,2015
Arizona,0-18,Male,OtherPacific_Islander,220134.0313,18674.69468,79872.34492,2692.985735,160.9199955,22446.33464,1493.089528,114.9442762,2015
Arizona,0-18,Male,TwoOrMore_Races,3539458.413,300263.9111,1284239.613,43299.57963,2587.376557,360906.7963,24006.86646,1848.148981,2015
Arizona,0-18,Female,NonHispanic_White,95689868.27,8117686.59,34719639.3,1170611.598,69950.17119,9757177.444,649029.7726,49965.02624,2015
Arizona,0-18,Female,AfricanAmerican,6805368.434,577321.8113,2469226.279,83252.73474,4974.786731,693920.7733,46158.3531,3553.463063,2015
Arizona,0-18,Female,Hispanic,52699104.01,4470638.508,19121082.68,644688.7585,38523.52829,5373552.271,357438.9652,27517.14641,2015
Arizona,0-18,Female,Asian,5339715.656,452985.6605,1937436.062,65322.83085,3903.38111,544473.0367,36217.36032,2788.163864,2015
Arizona,0-18,Female,AmericanIndian,6975373.853,591743.9308,2530910.205,85332.47755,5099.062251,711255.6601,47311.43837,3642.23239,2015
Arizona,0-18,Female,OtherPacific_Islander,229249.7315,19448.00954,83179.84057,2804.501662,167.583656,23375.83226,1554.918026,119.7040926,2015
Arizona,0-18,Female,TwoOrMore_Races,3686026.582,312697.7714,1337419.684,45092.60538,2694.519233,375851.8647,25000.98534,1924.68041,2015
Arizona,19-64,Male,NonHispanic_White,213008230.9,18125783.76,77524633.04,2613829.995,156190.0256,21786562.77,1449202.698,111565.6845,2015
Arizona,19-64,Male,AfricanAmerican,15148933.92,1289087.746,5513474.938,185892.9943,11108.07956,1549438.715,103065.8572,7934.440724,2015
Arizona,19-64,Male,Hispanic,117309628.7,9982379.334,42694997.64,1439509.754,86018.24369,11998473.38,798116.7192,61442.3629,2015
Arizona,19-64,Male,Asian,11886351.25,1011460.597,4326053.576,145857.7506,8715.76417,1215740.521,80868.85766,6225.622869,2015
Arizona,19-64,Male,AmericanIndian,15527370.57,1321290.544,5651207.469,190536.8011,11385.57133,1588145.36,105640.5531,8132.651583,2015
Arizona,19-64,Male,OtherPacific_Islander,510316.0934,43424.98464,185730.2307,6262.103139,374.1934448,52195.32387,3471.938414,267.2843393,2015
Arizona,19-64,Male,TwoOrMore_Races,8205194.715,698215.2024,2986291.687,100686.1752,6016.526063,839230.4321,55824.08843,4297.571793,2015
Arizona,19-64,Female,NonHispanic_White,221828853.4,18876368.34,80734910.47,2722068.1,162657.8191,22688739.38,1509213.853,116185.5941,2015
Arizona,19-64,Female,AfricanAmerican,15776247.83,1342468.577,5741786.682,193590.7809,11568.06261,1613600.62,107333.7909,8263.004111,2015
Arizona,19-64,Female,Hispanic,122167393.8,10395747.39,44462987.79,1499119.526,89580.23961,12495327.44,831166.5512,63986.67718,2015
Arizona,19-64,Female,Asian,12378562.36,1053344.951,4505194.471,151897.6869,9076.681984,1266084.06,84217.61868,6483.424497,2015
Arizona,19-64,Female,AmericanIndian,16170355.46,1376004.885,5885222.686,198426.8868,11857.04525,1653910.098,110015.1044,8469.422836,2015
Arizona,19-64,Female,OtherPacific_Islander,531448.1668,45223.20338,193421.2773,6521.415407,389.6887103,54356.72037,3615.710594,278.352523,2015
Arizona,19-64,Female,TwoOrMore_Races,8544969.963,727128.1353,3109953.347,104855.5668,6265.669039,873982.7735,58135.75124,4475.533264,2015
Arizona,65+,Male,NonHispanic_White,60723717.54,5366283.406,22951788.31,773845.2976,46241.30763,6450086.343,429048.0619,33029.91415,2015
Arizona,65+,Male,AfricanAmerican,4318610.507,381644.7484,1632308.399,55035.10932,3288.635892,458723.7373,30513.47222,2349.054704,2015
Arizona,65+,Male,Hispanic,33442260.55,2955363.326,12640195.89,426178.3882,25466.38975,3552244.111,236288.8449,18190.50348,2015
Arizona,65+,Male,Asian,3388523.687,299451.0081,1280762.798,43182.35489,2580.371766,359929.7152,23941.87279,1843.145496,2015
Arizona,65+,Male,AmericanIndian,4426494.04,391178.6444,1673085.218,56409.94551,3370.789552,470183.1494,31275.73156,2407.736615,2015
Arizona,65+,Male,OtherPacific_Islander,145479.3093,12856.31439,54986.92185,1853.945772,110.7829653,15452.84354,1027.895166,79.13166867,2015
Arizona,65+,Male,TwoOrMore_Races,2339111.142,206712.201,884115.5638,29808.94831,1781.240712,248460.8888,16527.16834,1272.330538,2015
Arizona,65+,Female,NonHispanic_White,63238272.88,5588499.982,23902216.65,805890.0555,48156.14967,6717182.952,446814.8446,34397.67539,2015
Arizona,65+,Female,AfricanAmerican,4497443.187,397448.5707,1699901.919,57314.10069,3424.817557,477719.383,31777.02817,2446.328525,2015
Arizona,65+,Female,Hispanic,34827096.96,3077744.25,13163623.53,443826.3384,26520.94716,3699341.732,246073.5122,18943.76809,2015
Arizona,65+,Female,Asian,3528841.683,311851.2063,1333798.894,44970.52639,2687.224374,374834.3228,24933.3003,1919.469732,2015
Arizona,65+,Female,AmericanIndian,4609794.152,407377.2632,1742367.296,58745.86854,3510.373181,489653.3267,32570.85249,2507.440441,2015
Arizona,65+,Female,OtherPacific_Islander,151503.5744,13388.69144,57263.91779,1930.717245,115.3704628,16092.74227,1070.460071,82.40849309,2015
Arizona,65+,Female,TwoOrMore_Races,2435973.202,215272.1062,920726.5883,31043.33009,1855.001485,258749.5977,17211.55462,1325.017456,2015
Arkansas,0-18,Male,NonHispanic_White,59932246.69,38517124.04,13950766.82,33355909.35,3228950.153,2227114.96,43105588.62,6562901.945,2015
Arkansas,0-18,Male,AfricanAmerican,12703587.33,8164313.472,2957085.617,7070312.409,684427.0411,472072.2308,9136911.092,1391110.84,2015
Arkansas,0-18,Male,Hispanic,5813940.171,3736490.238,1353343.619,3235808.3,313235.7627,216049.1863,4181610.52,636657.5819,2015
Arkansas,0-18,Male,Asian,1109856.42,713280.0748,258347.5338,617702.025,59795.37321,41242.86963,798251.6411,121535.2212,2015
Arkansas,0-18,Male,AmericanIndian,512241.4247,329206.1884,119237.3233,285093.2423,27597.86456,19035.1706,368423.8344,56093.17902,2015
Arkansas,0-18,Male,OtherPacific_Islander,173592.9273,111564.3194,40408.204,96614.93212,9352.609656,6450.807813,124854.7439,19009.35511,2015
Arkansas,0-18,Male,TwoOrMore_Races,1781461.844,1144905.966,414680.9132,991490.9427,95979.24008,66200.0933,1281296.224,195079.6115,2015
Arkansas,0-18,Female,NonHispanic_White,63367335.49,40724779.33,14750371.8,35267743.41,3414021.315,2354764.732,45576237.28,6939062.564,2015
Arkansas,0-18,Female,AfricanAmerican,13431708.72,8632260.918,3126574.536,7475555.869,723655.8001,499129.6185,9660604.141,1470844.031,2015
Arkansas,0-18,Female,Hispanic,6147173.144,3950651.67,1430912.136,3421272.545,331189.2472,228432.3052,4421284.556,673148.3769,2015
Arkansas,0-18,Female,Asian,1173469.176,754162.5802,273155.0334,653106.3595,63222.61694,43606.7543,844004.394,128501.1586,2015
Arkansas,0-18,Female,AmericanIndian,541601.1581,348075.037,126071.5539,301433.7044,29179.66936,20126.19429,389540.4895,59308.22704,2015
Arkansas,0-18,Female,OtherPacific_Islander,183542.6147,117958.7625,42724.24881,102152.5332,9888.665727,6820.543622,132010.9437,20098.89916,2015
Arkansas,0-18,Female,TwoOrMore_Races,1883568.472,1210527.629,438448.8485,1048319.439,101480.4057,69994.43126,1354735.258,206260.834,2015
Arkansas,19-64,Male,NonHispanic_White,141543175.7,89033024.25,32247448.16,77102783.77,7463776.294,5148016.244,99639342.57,15170265.76,2015
Arkansas,19-64,Male,AfricanAmerican,30002314.16,18871957.28,6835356.534,16343154.17,1582065.402,1091203.443,21120134.15,3215577.7,2015
Arkansas,19-64,Male,Hispanic,13730897.81,8636964.319,3128278.091,7479629.024,724050.0935,499401.5758,9665867.848,1471645.439,2015
Arkansas,19-64,Male,Asian,2621169.92,1648759.708,597174.966,1427829.329,138218.0795,95333.63415,1845173.011,280930.8474,2015
Arkansas,19-64,Male,AmericanIndian,1209770.732,760966.0193,275619.2151,658998.1519,63792.95978,44000.13884,851618.3126,129660.3911,2015
Arkansas,19-64,Male,OtherPacific_Islander,409977.8593,257882.9288,93404.28956,223327.1515,21618.72526,14911.15816,288603.9837,43940.46588,2015
Arkansas,19-64,Male,TwoOrMore_Races,4207313.769,2646470.711,958542.3813,2291849.128,221857.7379,153022.7051,2961739.243,450930.0269,2015
Arkansas,19-64,Female,NonHispanic_White,149655893,94136059.12,34095749.44,81522022.55,7891571.609,5443080.987,105350291.3,16039767.79,2015
Arkansas,19-64,Female,AfricanAmerican,31721932.88,19953626.21,7227133.215,17279881.7,1672743.384,1153747.081,22330660.04,3399882.403,2015
Arkansas,19-64,Female,Hispanic,14517900.73,9132002.316,3307579.112,7908332.957,765549.8954,528025.3778,10219878.69,1555994.568,2015
Arkansas,19-64,Female,Asian,2771405.427,1743260.354,631402.7674,1509667.084,146140.215,100797.796,1950931.321,297032.7368,2015
Arkansas,19-64,Female,AmericanIndian,1279110.197,804581.7019,291416.6619,696769.4235,67449.32999,46522.05972,900429.8404,137092.0324,2015
Arkansas,19-64,Female,OtherPacific_Islander,433476.2334,272663.799,98757.86875,236127.4158,22857.8285,15765.80913,305145.6681,46458.96653,2015
Arkansas,19-64,Female,TwoOrMore_Races,4448461.018,2798156.363,1013482.391,2423209.217,234573.781,161793.3855,3131494.89,476775.6237,2015
Arkansas,65+,Male,NonHispanic_White,38120566.34,24818521.24,8989181.082,21492890.9,2080575.068,1435042.239,27775099.87,4228807.976,2015
Arkansas,65+,Male,AfricanAmerican,8080256.797,5260678.007,1905399.067,4555758.071,441010.7837,304179.8935,5887371.596,896362.7162,2015
Arkansas,65+,Male,Hispanic,3698020.752,2407608.685,872027.3956,2084994.117,201833.5643,139211.3625,2694422.081,410230.5173,2015
